WKT,id,name,alt_name,latitude,longitude
"POINT (124.09015 0.65557)",71.0,SULAWESI UTARA,SULAWESI UTARA,0.65557,124.09015
"POINT (121.3911331 -1.5400239)",72.0,SULAWESI TENGAH,SULAWESI TENGAH,-1.5400239,121.3911331
"POINT (119.94719 -3.64467)",73.0,SULAWESI SELATAN,SULAWESI SELATAN,-3.64467,119.94719
"POINT (122.0685543 -4.1411836)",74.0,SULAWESI TENGGARA,SULAWESI TENGGARA,-4.1411836,122.0685543
"POINT (122.45559 0.71862)",75.0,GORONTALO,GORONTALO,0.71862,122.45559
"POINT (119.3479783 -2.9474808)",76.0,SULAWESI BARAT,SULAWESI BARAT,-2.9474808,119.3479783
